,Legend,Variable,Importance
244,TabNet Importances,Lymphocytes,-3.0690172469542845e-06
245,TabNet Importances,Lymphocytes,-4.200149454962724e-06
246,TabNet Importances,Lymphocytes,-2.692283080918421e-06
247,TabNet Importances,Lymphocytes,-1.0737992535239348e-05
248,TST Importances,albumin,-0.0005051646321809857
249,TST Importances,albumin,-0.0006270486374576227
250,TST Importances,albumin,-0.0007115674560381907
251,TST Importances,albumin,-0.0004369027166968052
252,TST Importances,albumin,-0.0006805513380709688
253,TST Importances,albumin,-0.0006742430322143241
254,TST Importances,albumin,-0.0006607527403258666
255,TST Importances,albumin,-0.0005504725379163281
256,TST Importances,albumin,-0.0006820474623314674
257,TST Importances,albumin,-0.0006792363179660689
258,TST Importances,albumin,-0.0006676279471895966
259,TST Importances,albumin,-0.0007704555707315634
260,TST Importances,albumin,-0.0005979552780592097
261,TST Importances,albumin,-0.0004817775221893207
262,TST Importances,albumin,-0.0006761493284604621
263,TST Importances,albumin,-0.0005034994337973239
264,TST Importances,albumin,-0.000620183771972043
265,TST Importances,albumin,-0.0005119581658246394
266,TST Importances,albumin,-0.0005244527596323081
267,TST Importances,albumin,-0.0005491314450513535
268,TST Importances,albumin,-0.00043268307664082173
269,TST Importances,albumin,-0.0001997745970360564
270,TST Importances,albumin,-0.0007222552515084103
271,TST Importances,albumin,-0.0004382638492743486
272,TST Importances,albumin,-0.0007814654952834724
273,TST Importances,albumin,-0.0005973935790417933
274,TST Importances,albumin,-0.0006137611441255535
275,TST Importances,albumin,-0.000647830934268565
276,TST Importances,albumin,-0.0006405591615590037
277,TST Importances,albumin,-0.0006826896320848401
278,TST Importances,albumin,-0.0003306513366535984
279,TabNet Importances,albumin,5.701019655471976e-05
280,TabNet Importances,albumin,-1.079452420022559e-07
281,TabNet Importances,albumin,7.400748540911041e-06
282,TabNet Importances,albumin,4.261304319881724e-06
283,TabNet Importances,albumin,2.0266999279860457e-06
284,TabNet Importances,albumin,-4.94333221401232e-07
285,TabNet Importances,albumin,-8.028851445430238e-07
286,TabNet Importances,albumin,-1.6067722995506519e-06
287,TabNet Importances,albumin,1.695208010938856e-05
288,TabNet Importances,albumin,-3.055216692407261e-06
289,TabNet Importances,albumin,-3.424561938990746e-06
